,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
(5z)-7-oxozeaenol,12.449592886537332,-1.5464077328462247,12.449592886537332,0.024197688334593348,0.6503733780680295,362.37800000000004,340.20200000000006,362.13655304399987,140.0,0.0,0.3423114540032061,-0.5068849522035686,0.5068849522035686,0.3423114540032061,1.1153846153846154,1.8076923076923077,2.5,2.45231700000057,735.6483383279112,19.26722023457211,14.584999933435057,14.584999933435057,12.328606258093465,8.181521082240177,8.181521082240177,6.0173725022338225,6.0173725022338225,3.95068469863676,3.95068469863676,2.5107519218544283,2.5107519218544283,-2.64,448623.82957362244,19.681666518371124,8.641079198407331,4.70953738375022,150.72344930444442,24.793308092122217,29.27040793376141,5.783244946364939,0.0,0.0,5.969305287951849,4.794537184071822,4.794537184071822,0.0,0.0,18.228060320501644,31.050397489609118,12.487188691387619,13.213763929025836,34.38238246026586,17.82857034115067,0.0,0.0,0.0,38.07727960878755,7.109797541277533,41.487697440818856,0.0,11.49902366656781,4.736862953800049,0.0,11.49902366656781,0.0,52.493829123361344,9.53140013787187,0.0,35.68682061300846,30.360794457424863,0.0,6.076020106833881,0.0,113.29,30.064449397561695,24.90865655266576,0.0,24.154606570832918,11.3129633249809,6.076020106833881,37.470591998702396,6.923737199690624,0.0,0.0,9.473725907600098,10.400863705815457,0.0,24.263224540811123,29.995516991142445,0.30622364995380935,-1.2897885248503023,2.8433589133796566,2.418765253588936,1.6388285777273872,1.4230068924314956,0.3684210526315789,26.0,3.0,7.0,0.0,1.0,1.0,1.0,0.0,1.0,7.0,3.0,7.0,1.0,0.0,0.0,0.0,2.0,1.6001999999999996,93.96490000000004,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-fluorouracil,11.984814814814815,-1.0011574074074068,11.984814814814815,0.7070370370370369,0.482564502908463,130.07799999999997,127.054,130.017855556,48.0,0.0,0.3253471361874118,-0.3111557027192775,0.3253471361874118,0.3111557027192775,1.4444444444444444,2.111111111111111,2.5555555555555554,3.5238977189940166,312.83394095677266,6.8533711511285205,4.271811323126579,4.271811323126579,4.198377302757663,2.1745807961581027,2.1745807961581027,1.4198610557263855,1.4198610557263855,0.7739642065842111,0.7739642065842111,0.39336190970452906,0.39336190970452906,-1.3900000000000001,104.20091930659319,5.741406044678055,1.8479763724759504,1.042170728106469,48.359278684403755,4.9839785209472085,0.0,0.0,5.817220841045895,5.559266895052007,5.689743398203474,9.77851570501903,4.794537184071822,4.39041504767482,0.0,0.0,0.0,6.196843571613076,0.0,4.39041504767482,0.0,0.0,9.967957041894417,0.0,0.0,0.0,32.8521490740581,0.0,0.0,11.24901029325548,4.39041504767482,0.0,0.0,9.967957041894417,0.0,5.817220841045895,0.0,15.785917939756718,0.0,0.0,0.0,65.72,17.066231134301376,13.979489415818463,0.0,0.0,6.196843571613076,0.0,0.0,4.9839785209472085,4.9839785209472085,0.0,0.0,11.984814814814815,0.0,24.005000000000003,0.0,-1.7081944444444437,-0.9911111111111108,0.0,0.7094907407407409,0.0,0.0,0.0,9.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,-0.7977000000000001,27.641399999999997,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a-443654,6.350272110144946,-0.11315527465960384,6.350272110144946,0.11315527465960384,0.39677664781039307,397.48200000000014,374.2980000000002,397.19026035600007,150.0,0.0,0.13777917842704088,-0.49032585228878617,0.49032585228878617,0.13777917842704088,1.0333333333333334,1.9333333333333333,2.8666666666666667,1.2861649890385138,1319.700942326402,20.501424753254113,16.722442543302012,16.722442543302012,14.669836433395457,10.007228908146448,10.007228908146448,7.624558788136552,7.624558788136552,5.412207337993258,5.412207337993258,3.8185513481906495,3.8185513481906495,-3.6399999999999992,14933853.825052774,18.392483279261075,7.647522126124397,3.5306304214425217,173.64819535152776,15.454508951909443,12.356393797796823,0.0,0.0,0.0,0.0,10.082660329248245,0.0,5.098681808301038,0.0,24.26546827384644,48.73693007985706,45.982056605465424,11.713544289229338,4.736862953800049,21.805849864162113,0.0,20.16532065849649,5.733667477162185,19.386399651764595,6.606881964512918,78.37884674907757,0.0,16.876414816677897,10.470530430962235,0.0,5.749511833283905,0.0,32.81404345215737,6.4208216229260096,6.923737199690624,11.257379486545457,67.12146726253211,0.0,32.9327528475561,0.0,92.61,0.0,0.0,0.0,6.041840829147961,12.356393797796823,39.66127825086578,10.949675706161791,6.196843571613076,49.64925968522482,38.36442186388132,10.470530430962235,5.970768140589569,0.0,7.64600092234215,9.629784979164837,12.769980473632447,0.7137862706811122,16.321635451706282,6.340401402314802,2.4409756929021347,0.0,0.16666666666666666,30.0,4.0,6.0,0.0,0.0,0.0,2.0,3.0,5.0,4.0,3.0,6.0,6.0,0.0,0.0,0.0,5.0,4.363420000000002,119.53480000000002,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a-770041,13.33604097211683,-0.22828086569562145,13.33604097211683,0.1563823375360056,0.2834384556164876,621.7460000000001,582.4340000000003,621.317586108,238.0,0.0,0.27191169210115235,-0.4945550169292484,0.4945550169292484,0.27191169210115235,0.9565217391304348,1.6956521739130435,2.4130434782608696,1.1260342277049016,1931.2627165174529,31.948654031517304,26.440297519659193,26.440297519659193,22.316902141136858,15.845191235507569,15.845191235507569,12.271672554718771,12.271672554718771,9.713706798572169,9.713706798572169,7.1568989424869685,7.1568989424869685,-4.97,42466550835.52702,29.725059984287153,12.086458447966487,5.317699628369029,266.68306098107143,25.2543284136104,29.282550675580396,5.647177220767728,5.907179729351506,5.907179729351506,0.0,14.48898409899412,14.6497599770396,5.098681808301038,0.0,24.26546827384644,49.948754765550476,62.65865205894412,24.225248859573853,14.325937321943693,45.25593487853518,0.0,34.115360894832946,7.04767198267719,44.69070534969059,44.33927924609635,60.55218461730588,0.0,17.00689131982936,15.787319034968565,11.50524905251859,5.749511833283905,0.0,85.26038434761175,11.842209166749011,0.0,49.13732969946291,54.85825662245742,0.0,33.193705853859036,0.0,136.43,0.0,9.589074368143644,0.0,17.85620028785097,45.7178591398799,68.3286885391324,6.3273200747645415,14.033534740968157,69.72742084415708,20.184655376751223,15.569212239263273,9.649711254307608,0.0,38.484683285551924,9.81861070664395,10.71469917127543,0.8063531110748083,16.081959866321455,5.549759489933527,5.095712022504069,3.4651777590538977,0.38235294117647056,46.0,3.0,12.0,1.0,1.0,2.0,2.0,3.0,5.0,10.0,2.0,12.0,6.0,1.0,1.0,2.0,7.0,4.475900000000002,177.71559999999957,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afatinib,13.552448205745232,-0.5094766232811871,13.552448205745232,0.004357248108982192,0.45729335341237065,485.94700000000023,460.7470000000002,485.16299555999996,178.0,0.0,0.2476891980311076,-0.4856677385504834,0.4856677385504834,0.2476891980311076,1.3235294117647058,2.176470588235294,2.911764705882353,1.6802607790026556,1214.67784504622,24.078775022443736,18.846894151362736,19.602823097381194,16.385050488558722,10.763019374480841,11.140983847490068,8.0989929898975,8.506193116638107,5.098208904847835,5.387855366512398,3.4196659728504835,3.600208603079224,-3.2699999999999996,52867959.29867568,23.873698027859223,10.771676263256955,5.990027316260755,201.2804170037267,25.007212846463236,29.815881914677668,0.0,5.907179729351506,0.0,0.0,4.794537184071822,14.358372089569237,0.0,0.0,17.676959997066398,38.36081223920082,36.18157569328243,29.44048423506699,18.65867813934674,45.60367987886723,0.0,14.867866772744893,0.0,12.524788010674312,44.487441508305444,59.65104978552757,0.0,5.749511833283905,15.370440161812711,21.58305037487697,5.749511833283905,11.600939890232516,60.73287719013749,9.53140013787187,5.817220841045895,6.4208216229260096,48.81119563074035,5.022633313741326,10.902924932081056,0.0,88.61000000000001,5.817220841045895,9.184952231746642,0.0,17.033779430841136,53.60359242750552,6.4208216229260096,24.536074318521642,24.27512131221871,18.99525369620486,20.60153424990708,21.074665797832616,25.101191228374645,5.912266875526566,23.20431745102655,6.673180824588722,1.6543515008955936,0.17043691158996022,7.8233158623723735,5.318233571185272,1.7458293286319775,3.8413208902527805,0.2916666666666667,34.0,2.0,8.0,0.0,1.0,1.0,2.0,1.0,3.0,7.0,2.0,10.0,8.0,0.0,1.0,1.0,4.0,4.389900000000003,130.4064,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aica ribonucleotide,11.080112721473652,-4.752404764898001,11.080112721473652,0.1802718332703448,0.30619038612974514,338.213,323.093,338.06275007000005,124.0,0.0,0.46917068506123855,-0.3874194760207762,0.46917068506123855,0.3874194760207762,1.4545454545454546,2.090909090909091,2.590909090909091,2.162563750063935,614.7576941818841,16.654336059449747,11.012046995869088,11.906474186869003,10.114879522194054,5.953158776177142,7.483455519517363,4.5825632729517345,5.821916064141043,3.0837656601859997,3.5691862217007815,2.0304157841547212,2.3715315379604784,-1.5300000000000002,62943.55938247923,16.833935422722405,5.929093753852407,3.2778164819307145,123.04894417724562,36.20407590331078,24.129761941079934,11.92182916558333,0.0,5.907179729351506,7.822697123132171,13.885383993574994,9.549026805878537,0.0,0.0,0.0,0.0,0.0,12.934202039277459,38.620073579701376,19.547739630318706,0.0,9.551078168738563,5.733667477162185,24.539800333979777,12.340549441675103,12.021248069613002,0.0,0.0,11.46733495432437,5.817862777835028,0.0,7.822697123132171,60.376917021034245,13.825658400443196,0.0,16.716366349655154,6.3273200747645415,0.0,0.0,0.0,203.38000000000002,44.87655915097637,19.57264025868456,0.0,11.51179077268349,0.0,10.894419722555895,0.0,0.0,0.0,9.507725682659025,25.991021113629373,21.21491427385412,0.0,31.993044851400583,19.756865866717057,10.472946971547861,-1.0639125264749807,0.0,-4.3261004424918115,-0.6564653407659358,-4.752404764898001,0.5555555555555556,22.0,8.0,12.0,0.0,1.0,1.0,0.0,1.0,1.0,9.0,6.0,13.0,5.0,0.0,1.0,1.0,2.0,-2.707299999999999,69.07700000000001,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alectinib,13.884751254741577,-0.34965495438303873,13.884751254741577,0.08570209866795242,0.5820901201895605,482.62800000000027,448.3560000000003,482.268176328,186.0,0.0,0.19531495719648936,-0.3787923225341311,0.3787923225341311,0.19531495719648936,1.1111111111111112,1.8611111111111112,2.5555555555555554,1.3687472186597143,1382.1752232771853,25.026368779636446,21.486200013244286,21.486200013244286,17.417383329101884,13.271689126535412,13.271689126535412,10.947911263775591,10.947911263775591,8.664646901094436,8.664646901094436,6.571125041344888,6.571125041344888,-3.1399999999999997,254517120.13686597,23.2700803443833,8.757841870150598,3.564454953867018,212.38821699949466,14.620751205597735,0.0,5.783244946364939,0.0,0.0,0.0,9.694446914922299,0.0,5.261891554738487,0.0,26.83757866753348,54.65483612601845,65.48354761550512,30.4098882252121,9.53140013787187,22.373556153129556,5.261891554738487,9.883888251797686,0.0,51.49050776639464,44.292699283526616,63.843020795641486,0.0,6.069221312792274,4.899909730850478,5.687386274683562,0.0,0.0,61.10176357998672,16.57267504612284,11.33111286753076,71.91857748232914,30.33183534230805,0.0,10.902924932081056,0.0,72.36,0.0,10.056428738810308,0.0,11.198235415761719,11.605292320844956,91.94246182347466,11.250837766380558,6.06636706846161,12.13273413692322,53.75696503143553,4.736862953800049,5.551616391486334,0.0,22.546341653059276,10.258136253506342,7.253612847211977,0.08570209866795242,12.873596097507487,3.2201331067026135,12.46086155185802,0.0,0.4666666666666667,36.0,1.0,6.0,1.0,2.0,3.0,2.0,1.0,3.0,5.0,1.0,6.0,3.0,0.0,2.0,2.0,6.0,4.773280000000004,142.0211999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amuvatinib,6.092803044378517,0.2793404012373546,6.092803044378517,0.2793404012373546,0.4761683339185086,447.5200000000002,426.3520000000002,447.136510532,162.0,0.0,0.2308003713552089,-0.45359547491216173,0.45359547491216173,0.2308003713552089,1.0,1.84375,2.75,1.1116950169975772,1315.734894421385,21.492988584816832,17.283290384491576,18.0997869654193,15.759152830872498,10.546197951999632,10.954446242463495,7.7936441107433785,8.180342441810364,5.886357587808027,6.2888940448525945,4.198501744007937,4.453244713491695,-3.589999999999999,59157367.31783643,19.12213383716106,7.830980277249278,3.3439491536249233,189.2837843389525,29.00748491036073,17.427040934023047,28.012343470769835,6.792942306099827,0.0,0.0,0.0,9.967957041894417,0.0,0.0,18.19910120538483,42.04679320859013,38.11000624402767,0.0,13.890876844653445,45.217138320972026,0.0,20.184655376751223,0.0,6.544756405912575,37.8718776606006,54.3553410456928,0.0,11.49902366656781,19.690424242456906,5.817862777835028,11.49902366656781,12.217873443046695,52.952271587219784,6.544756405912575,0.0,5.563451491696996,53.20904049104916,0.0,22.068965215365544,0.0,75.89000000000001,0.0,0.0,0.0,6.792942306099827,6.544756405912575,76.24076565984043,0.0,6.3273200747645415,42.46456947923127,25.0845651076017,26.10875028770014,16.909374089613152,5.644615506964443,13.415262402314013,5.1217888927847195,3.527669627828445,2.4087070457401554,13.895462040608374,1.6146415961193545,4.129145464694008,0.0,0.2608695652173913,32.0,1.0,8.0,0.0,2.0,2.0,2.0,2.0,4.0,7.0,1.0,9.0,3.0,0.0,1.0,1.0,6.0,3.301400000000001,125.09870000000002,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar-42,12.599125094482236,-0.5905379340543482,12.599125094482236,0.09207433127571973,0.5858633067767111,312.369,292.209,312.14739249999997,120.0,0.0,0.2741359169349258,-0.32555570465261263,0.32555570465261263,0.2741359169349258,0.9565217391304348,1.565217391304348,2.0869565217391304,2.14373245305214,666.4258703727342,16.81962647737941,13.114563137513572,13.114563137513572,11.024075805453153,7.4292900366849315,7.4292900366849315,5.639900022417671,5.639900022417671,3.6239964884052176,3.6239964884052176,2.488894994744897,2.488894994744897,-2.6599999999999997,143004.1076068075,16.70609927719987,7.556747541574722,4.17067192741521,134.84919083091827,5.316788604006331,0.0,0.0,5.907179729351506,5.907179729351506,0.0,14.796327392920933,5.480096598121202,0.0,0.0,44.179309741689295,35.74682581170483,11.250837766380558,5.917906046161393,14.796327392920933,17.501745733386574,0.0,5.480096598121202,5.917906046161393,19.76538044554264,5.316788604006331,65.72420659954848,0.0,0.0,10.796885202127534,5.687386274683562,0.0,0.0,17.0216124834803,4.794537184071822,5.917906046161393,35.68682061300845,54.59730361615449,0.0,0.0,0.0,78.43,5.907179729351506,9.589074368143644,0.0,17.74299182167429,11.250837766380558,5.563451491696996,12.13273413692322,17.612830735044422,44.179309741689295,5.316788604006331,5.20725302477729,0.0,0.0,23.880147583779507,11.466407751617819,3.455353565130629,-0.7858929523625595,15.972218245624353,0.0,4.01176580621025,0.0,0.2222222222222222,23.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,2.0,3.1838999999999995,88.34540000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as601245,9.702589282953607,-0.5099320929524753,9.702589282953607,0.5099320929524753,0.553945769740658,372.4570000000001,356.3290000000001,372.115715512,132.0,0.0,0.22241523808687355,-0.35388242127592917,0.35388242127592917,0.22241523808687355,1.0740740740740742,2.0,2.814814814814815,1.5051142598145129,1053.2862610459697,18.476480726871785,14.409382791422637,15.225879372350363,13.330831138144493,8.540993604150273,9.357490185078,5.925103293972105,6.9873302910620545,4.078942409443799,5.1802041752890915,2.744621898483651,3.7700933489586217,-3.3699999999999997,2954048.1800270313,17.06437933128762,7.890849413183563,3.9101593772558876,160.1484215802209,5.316788604006331,10.92552974301416,0.0,5.948339280986494,0.0,0.0,4.9839785209472085,14.951935562841626,5.261891554738487,11.336785877934737,18.19910120538483,36.249741388469445,25.135287120751805,21.979769941726097,0.0,27.501745793006595,5.261891554738487,19.935914083788834,0.0,12.338727669087403,11.861545009918906,77.32010337746873,0.0,6.069221312792274,5.316788604006331,5.948339280986494,0.0,11.336785877934737,26.48067048970141,6.4208216229260096,11.33111286753076,22.182909229559616,61.05510019407049,0.0,10.216620634085363,0.0,87.38,5.917906046161393,5.261891554738487,0.0,0.0,18.18702368174753,27.208517445561135,11.336785877934737,18.460054211687762,42.595045982382736,31.321924000587437,0.0,1.0663195936841392,1.5244175794538624,17.49682322153951,13.665523810797497,2.6968432004531673,0.0018747748563767708,15.930874093169503,6.095989790854683,0.6880006018579252,0.0,0.15,27.0,1.0,6.0,0.0,0.0,0.0,1.0,3.0,4.0,7.0,1.0,7.0,6.0,0.0,0.0,0.0,4.0,3.791380000000001,105.5387,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
