,b35a4476-08e9-4b37-851c-d1534521cef4.FPKM.txt.gz
ENSG00000242268,0.0
ENSG00000270112,0.0
ENSG00000167578,2.39477604363
ENSG00000273842,0.0
ENSG00000078237,5.35302870693
ENSG00000146083,41.8441697693
ENSG00000225275,0.0
ENSG00000158486,0.0156578757162
ENSG00000198242,102.487708798
ENSG00000259883,0.2025437273799999
ENSG00000231981,0.0
ENSG00000269475,0.0
ENSG00000201788,0.0
ENSG00000134108,38.265174385
ENSG00000263089,0.118552661734
ENSG00000172137,0.469950804918
ENSG00000167700,3.76911322416
ENSG00000234943,0.0
ENSG00000240423,0.0
ENSG00000060642,5.72560334489
ENSG00000271616,0.0
ENSG00000234881,0.0
ENSG00000236040,0.0
ENSG00000231105,0.181106692095
ENSG00000243044,0.0
ENSG00000182141,1.10677212169
ENSG00000269416,0.0059223761305299
ENSG00000264981,0.0
ENSG00000275265,0.0
ENSG00000185105,0.0397073875635
ENSG00000233540,0.04929331244
ENSG00000102174,0.0703263611691
ENSG00000271647,0.0
ENSG00000166391,0.457466711149
ENSG00000270469,0.0481384752805
ENSG00000070087,3.574911508
ENSG00000262950,0.0
ENSG00000255420,0.0
ENSG00000280038,0.0
ENSG00000266261,0.2393013346469999
ENSG00000153561,15.3544756083
ENSG00000269148,0.22994943133
ENSG00000274458,0.0
ENSG00000273406,0.0
ENSG00000179262,52.36725064979999
ENSG00000214198,0.0739049757737
ENSG00000278099,0.0
ENSG00000166368,0.0
ENSG00000206072,0.14787993732
ENSG00000234900,0.0267766141649
ENSG00000258630,0.0
ENSG00000127511,7.19912625474
ENSG00000220993,0.0
ENSG00000225269,0.0111863333675
ENSG00000214062,0.0269615355335
ENSG00000095587,0.117346023136
ENSG00000274219,0.0214979644562
ENSG00000230100,0.0
ENSG00000064601,22.1568388873
ENSG00000227766,1.9264600898
ENSG00000008517,33.9245516289
ENSG00000215246,0.128938394516
ENSG00000266644,0.0348574137968
ENSG00000236893,0.0159218203314
ENSG00000254465,0.0
ENSG00000088179,2.1918350729
ENSG00000070081,4.20350571359
ENSG00000275479,0.7944247795559999
ENSG00000166634,0.809521159226
ENSG00000261789,0.0
ENSG00000254092,0.0
ENSG00000197421,0.0142275158354
ENSG00000161558,1.86709908433
ENSG00000276644,0.0869333162793999
ENSG00000260900,0.0
ENSG00000278732,0.0
ENSG00000196167,34.8805642606
ENSG00000268465,0.0
ENSG00000264438,0.0
ENSG00000204113,0.0
ENSG00000207000,0.0
ENSG00000254131,0.0929531034583
ENSG00000118972,0.00646790978338
ENSG00000264104,0.0
ENSG00000179833,27.1178900934
ENSG00000264576,0.0
ENSG00000064225,0.810235305431
ENSG00000267108,0.348574137968
ENSG00000221372,0.0
ENSGR0000264510,0.0
ENSG00000057294,19.9857751097
ENSG00000227535,0.0
ENSG00000252628,0.0
ENSG00000166007,0.0
ENSG00000273055,0.374786913144
ENSG00000242041,0.353839608331
ENSG00000278923,0.0
ENSG00000167768,1.82020707415
ENSG00000280159,0.0
ENSG00000235240,0.0
